date,div,home,away,pH,pD,pA,pick,p_over,score_pick,p_top_score,actual,result,hit_1x2,hit_score,hit_ou,logloss,bet_side,clv,roi
2025-08-09,E1,Southampton,Wrexham,0.3228,0.2663,0.4109,A,0.4856,1-1,0.1383,2-1,H,0,0,0,1.1307,A,-0.0286,-1.0
2025-08-09,SC0,Rangers,Dundee,0.8091,0.1293,0.0616,H,0.7043,2-0,0.0964,1-1,D,0,0,0,2.0458,,,
2025-08-09,SC0,St Mirren,Motherwell,0.5248,0.2687,0.2065,H,0.4404,1-1,0.1213,0-0,D,0,0,1,1.314,H,-0.1176,-1.0
2025-08-09,P1,Nacional,Gil Vicente,0.3306,0.2757,0.3937,A,0.3875,1-1,0.1386,0-2,A,1,0,1,0.9322,A,-0.0301,1.9
2025-08-09,B1,Gent,St. Gilloise,0.128,0.1975,0.6745,A,0.6294,0-2,0.1142,2-3,A,1,0,1,0.3938,A,-0.0244,0.6
2025-08-09,B1,Westerlo,Mechelen,0.4517,0.2733,0.2749,H,0.5389,1-1,0.1139,0-1,A,0,0,0,1.2912,H,0.0208,-1.0
2025-08-09,B1,Club Brugge,Cercle Brugge,0.775,0.1481,0.0769,H,0.6821,2-0,0.1096,2-0,H,1,1,0,0.2549,H,0.014,0.45
2025-08-09,N1,Nijmegen,Excelsior,0.5532,0.2605,0.1864,H,0.471,1-1,0.1175,5-0,H,1,0,0,0.5921,,,
2025-08-09,N1,Feyenoord,NAC Breda,0.8356,0.1116,0.0528,H,0.6358,2-0,0.108,2-0,H,1,1,0,0.1796,,,
2025-08-09,N1,Heerenveen,Volendam,0.5669,0.2511,0.182,H,0.4901,1-1,0.1151,1-1,D,0,1,1,1.382,,,
2025-08-09,N1,PSV Eindhoven,Sparta Rotterdam,0.8311,0.1055,0.0633,H,0.7634,2-0,0.1022,6-1,H,1,0,1,0.185,,,
2025-08-09,T1,Antalyaspor,Kasimpasa,0.3074,0.2778,0.4148,A,0.4544,1-1,0.1337,2-1,H,0,0,0,1.1796,A,-0.1459,-1.0
2025-08-09,T1,Samsunspor,Genclerbirligi,0.676,0.188,0.136,H,0.5343,2-0,0.1094,2-1,H,1,0,1,0.3916,H,-0.006,0.67
2025-08-09,SC0,Livingston,Falkirk,0.3387,0.2664,0.3949,A,0.4804,1-1,0.136,3-1,H,0,0,0,1.0827,A,-0.1405,-1.0
2025-08-09,P1,Arouca,AVS,0.5722,0.2282,0.1996,H,0.4908,1-1,0.1277,3-1,H,1,0,0,0.5582,H,0.0517,0.83
2025-08-10,SC0,Hibernian,Kilmarnock,0.5985,0.2282,0.1733,H,0.5364,2-0,0.1072,2-2,D,0,0,1,1.4775,H,0.0897,-1.0
2025-08-10,SC0,Aberdeen,Celtic,0.1146,0.1694,0.716,A,0.6075,0-2,0.1269,0-2,A,1,1,0,0.3341,A,0.0667,0.44
2025-08-10,T1,Rizespor,Goztep,0.4175,0.2864,0.2961,H,0.517,1-1,0.1235,0-3,A,0,0,1,1.217,,,
2025-08-10,SC0,Dundee United,Hearts,0.2766,0.2777,0.4457,A,0.4071,1-1,0.1366,2-3,A,1,0,0,0.8081,H,-0.1435,-1.0
2025-08-10,T1,Eyupspor,Konyaspor,0.3679,0.2821,0.35,H,0.4782,1-1,0.1338,1-4,A,0,0,0,1.0498,,,
2025-08-10,B1,Antwerp,Oud-Heverlee Leuven,0.6247,0.2326,0.1427,H,0.5784,2-0,0.1119,3-1,H,1,0,1,0.4706,H,0.0324,0.91
2025-08-10,B1,RAAL La Louviere,Charleroi,0.2665,0.2768,0.4568,A,0.4651,1-1,0.1163,1-0,H,0,0,1,1.3225,,,
2025-08-10,P1,Sp Braga,Tondela,0.768,0.1561,0.076,H,0.5194,2-0,0.1273,3-0,H,1,0,1,0.264,H,-0.0071,0.4
2025-08-10,P1,Moreirense,Alverca,0.4126,0.2903,0.2971,H,0.4121,1-1,0.125,2-1,H,1,0,0,0.8852,A,-0.1781,-1.0
2025-08-10,P1,Famalicao,Santa Clara,0.3693,0.2855,0.3452,H,0.3624,1-1,0.1374,3-0,H,1,0,0,0.9962,A,-0.0909,-1.0
2025-08-10,E1,Leicester,Sheffield Weds,0.4158,0.284,0.3003,H,0.4289,1-1,0.1345,2-1,H,1,0,0,0.8776,A,0.4085,-1.0
2025-08-10,N1,Zwolle,Twente,0.2859,0.2705,0.4436,A,0.5182,1-1,0.1285,1-0,H,0,0,0,1.2522,H,0.0526,3.0
2025-08-10,B1,Standard,Genk,0.2767,0.2676,0.4556,A,0.4684,1-1,0.1381,2-1,H,0,0,0,1.2847,H,0.0791,3.5
2025-08-10,B1,Anderlecht,Waregem,0.742,0.1659,0.0921,H,0.7772,2-1,0.0935,2-3,A,0,0,1,2.3851,H,-0.1471,-1.0
2025-08-10,N1,Ajax,Telstar,0.6689,0.2205,0.1106,H,0.6053,2-0,0.1139,2-0,H,1,1,0,0.4022,D,-0.2171,-1.0
2025-08-10,N1,AZ Alkmaar,Groningen,0.7598,0.1537,0.0865,H,0.6927,2-0,0.1161,4-1,H,1,0,1,0.2747,H,0.0929,0.53
2025-08-10,N1,Utrecht,Heracles,0.7373,0.1636,0.0991,H,0.612,2-0,0.135,4-0,H,1,0,1,0.3047,H,-0.019,0.55
2025-08-11,T1,Trabzonspor,Kocaelispor,0.5766,0.2587,0.1647,H,0.5395,2-0,0.098,1-0,H,1,0,0,0.5506,,,
2025-08-11,P1,Porto,Guimaraes,0.6039,0.2183,0.1778,H,0.5213,1-1,0.1122,3-0,H,1,0,1,0.5043,,,
2025-08-11,P1,Estoril,Estrela,0.5213,0.2651,0.2136,H,0.4311,1-1,0.1291,1-1,D,0,1,1,1.3276,,,
2025-08-15,N1,Telstar,Zwolle,0.3374,0.2945,0.3681,A,0.514,1-1,0.1185,0-2,A,1,0,0,0.9994,,,
2025-08-15,P1,AVS,Casa Pia,0.3443,0.2787,0.377,A,0.437,1-1,0.137,0-2,A,1,0,1,0.9754,,,
2025-08-15,B1,Oud-Heverlee Leuven,Genk,0.204,0.2255,0.5705,A,0.5214,0-2,0.1052,1-2,A,1,0,1,0.5612,,,
2025-08-15,F1,Rennes,Marseille,0.236,0.2543,0.5097,A,0.4348,1-1,0.1209,1-0,H,0,0,1,1.444,A,0.0406,-1.0
2025-08-15,SP1,Villarreal,Oviedo,0.5979,0.2265,0.1755,H,0.5739,2-0,0.1087,2-0,H,1,1,0,0.5143,A,-0.1071,-1.0
2025-08-15,T1,Galatasaray,Karagumruk,0.8716,0.0832,0.0453,H,0.8513,3-0,0.0824,3-0,H,1,1,1,0.1375,,,
2025-08-15,SP1,Girona,Vallecano,0.315,0.2862,0.3988,A,0.4689,1-1,0.1334,1-3,A,1,0,0,0.9193,A,-0.0435,2.3
2025-08-15,E0,Liverpool,Bournemouth,0.6345,0.2165,0.149,H,0.6003,2-0,0.1083,4-2,H,1,0,1,0.4549,D,-0.084,-1.0
2025-08-16,E0,Sunderland,West Ham,0.2874,0.2658,0.4469,A,0.5296,1-1,0.1317,3-0,H,0,0,1,1.247,,,
2025-08-16,E1,Blackburn,Birmingham,0.4445,0.286,0.2695,H,0.4063,1-1,0.1333,1-2,A,0,0,0,1.3111,H,0.0032,-1.0
2025-08-16,E1,Bristol City,Charlton,0.4941,0.2658,0.2401,H,0.4491,1-1,0.1296,0-0,D,0,0,1,1.3249,,,
2025-08-16,E1,Millwall,Middlesbrough,0.4197,0.2919,0.2884,H,0.4388,1-1,0.1349,0-3,A,0,0,0,1.2435,,,
2025-08-16,E0,Brighton,Fulham,0.5335,0.2529,0.2135,H,0.6357,1-1,0.107,1-1,D,0,1,0,1.3746,H,-0.0052,-1.0
2025-08-16,T1,Kocaelispor,Samsunspor,0.2926,0.2854,0.422,A,0.4356,1-1,0.1218,0-1,A,1,0,1,0.8627,A,-0.1434,1.45
2025-08-16,T1,Alanyaspor,Rizespor,0.4128,0.2953,0.292,H,0.468,1-1,0.1186,0-0,D,0,0,1,1.2198,,,
2025-08-16,N1,Groningen,Heerenveen,0.3663,0.2853,0.3484,H,0.5798,1-1,0.1246,2-1,H,1,0,1,1.0044,A,-0.1036,-1.0
2025-08-16,N1,Heracles,Nijmegen,0.2613,0.2746,0.4641,A,0.5102,1-1,0.1303,1-4,A,1,0,1,0.7678,A,-0.084,1.4
2025-08-16,N1,Excelsior,Feyenoord,0.1218,0.1684,0.7098,A,0.6914,0-2,0.1044,1-2,A,1,0,1,0.3427,A,-0.0397,0.45
2025-08-16,T1,Goztep,Fenerbahce,0.1802,0.2075,0.6122,A,0.6694,1-1,0.1026,0-0,D,0,0,0,1.5725,A,-0.0933,-1.0
2025-08-16,E1,Derby,Coventry,0.3798,0.2825,0.3376,H,0.5087,1-1,0.1359,3-5,A,0,0,1,1.0859,H,-0.019,-1.0
2025-08-16,F1,Lens,Lyon,0.3691,0.2694,0.3615,H,0.5267,1-1,0.1252,0-1,A,0,0,0,1.0176,A,-0.0268,1.9
2025-08-16,F1,Monaco,Le Havre,0.738,0.1701,0.0919,H,0.661,2-0,0.117,3-1,H,1,0,1,0.3038,H,0.0726,0.33
2025-08-16,E1,Wrexham,West Brom,0.3138,0.283,0.4031,A,0.5503,1-1,0.1283,2-3,A,1,0,1,0.9085,A,-0.0727,1.55
2025-08-16,B1,St. Gilloise,Standard,0.7879,0.1421,0.0699,H,0.5396,2-0,0.1281,3-0,H,1,0,1,0.2383,H,-0.0221,0.33
2025-08-16,B1,Waregem,Club Brugge,0.1396,0.18,0.6804,A,0.7613,1-2,0.0925,0-1,A,1,0,0,0.3851,A,-0.0625,0.5
2025-08-16,SP1,Mallorca,Barcelona,0.0952,0.146,0.7588,A,0.6476,0-2,0.1355,0-3,A,1,0,1,0.276,A,0.0072,0.4
2025-08-16,SP1,Alaves,Levante,0.4095,0.2866,0.3038,H,0.338,1-1,0.1387,2-1,H,1,0,0,0.8927,A,-0.0331,-1.0
2025-08-16,SP1,Valencia,Sociedad,0.3933,0.2861,0.3205,H,0.3876,1-1,0.1387,1-1,D,0,1,1,1.2514,,,
2025-08-16,F1,Nice,Toulouse,0.5586,0.2561,0.1853,H,0.5685,1-1,0.1077,0-1,A,0,0,0,1.6859,H,-0.0233,-1.0
2025-08-16,E0,Aston Villa,Newcastle,0.4165,0.2755,0.3079,H,0.5279,1-1,0.1279,0-0,D,0,0,0,1.2891,,,
2025-08-16,E0,Tottenham,Burnley,0.2154,0.256,0.5286,A,0.4484,1-1,0.1268,3-0,H,0,0,0,1.5351,A,0.2687,-1.0
2025-08-16,E0,Wolves,Man City,0.1785,0.2187,0.6028,A,0.564,0-1,0.1145,0-4,A,1,0,1,0.5062,,,
2025-08-16,B1,Mechelen,Gent,0.5113,0.2672,0.2215,H,0.6625,1-1,0.118,1-1,D,0,1,0,1.3199,,,
2025-08-16,P1,Tondela,Famalicao,0.3033,0.2535,0.4432,A,0.4935,1-1,0.1307,0-1,A,1,0,1,0.8137,A,0.3172,1.45
2025-08-16,P1,Estrela,Benfica,0.1155,0.16,0.7245,A,0.706,0-2,0.1249,0-1,A,1,0,0,0.3223,H,0.0244,-1.0
2025-08-16,E1,Watford,QPR,0.3687,0.2857,0.3456,H,0.4493,1-1,0.1374,2-1,H,1,0,0,0.9978,A,-0.0793,-1.0
2025-08-16,E1,Swansea,Sheffield United,0.3339,0.2664,0.3996,A,0.4996,1-1,0.1321,1-0,H,0,0,1,1.0968,A,-0.0931,-1.0
2025-08-16,E1,Sheffield Weds,Stoke,0.3926,0.2865,0.3208,H,0.4596,1-1,0.1344,0-3,A,0,0,0,1.1369,H,0.0833,-1.0
2025-08-16,E1,Preston,Leicester,0.4054,0.2709,0.3237,H,0.4406,1-1,0.1354,2-1,H,1,0,0,0.9028,H,-0.0576,2.6
2025-08-16,P1,Guimaraes,Estoril,0.516,0.2595,0.2246,H,0.4929,1-1,0.1172,3-2,H,1,0,0,0.6617,A,0.0526,-1.0
2025-08-16,E1,Portsmouth,Norwich,0.4667,0.2731,0.2602,H,0.4993,1-1,0.1262,1-2,A,0,0,0,1.3463,H,-0.0959,-1.0
2025-08-17,B1,Charleroi,Antwerp,0.4085,0.2847,0.3068,H,0.586,1-1,0.1247,1-1,D,0,1,0,1.2563,,,
2025-08-17,B1,Cercle Brugge,Westerlo,0.3912,0.282,0.3267,H,0.5451,1-1,0.1182,4-1,H,1,0,1,0.9384,,,
2025-08-17,T1,Konyaspor,Gaziantep,0.5574,0.2583,0.1843,H,0.5369,1-1,0.1124,3-0,H,1,0,1,0.5845,H,0.0,0.83
2025-08-17,SP1,Espanol,Ath Madrid,0.1478,0.1897,0.6625,A,0.5693,0-2,0.1051,2-1,H,0,0,1,1.9122,A,-0.0542,-1.0
2025-08-17,T1,Besiktas,Eyupspor,0.6463,0.2188,0.1349,H,0.427,1-1,0.1078,2-1,H,1,0,0,0.4365,D,0.046,-1.0
2025-08-17,T1,Buyuksehyr,Kayserispor,0.485,0.2674,0.2475,H,0.5494,1-1,0.1122,1-1,D,0,1,0,1.3188,A,0.0989,-1.0
2025-08-17,B1,St Truiden,RAAL La Louviere,0.5552,0.2442,0.2006,H,0.5199,1-0,0.1105,2-1,H,1,0,1,0.5884,A,0.0806,-1.0
2025-08-17,B1,Dender,Anderlecht,0.2587,0.2596,0.4817,A,0.5692,1-1,0.1223,0-2,A,1,0,0,0.7304,,,
2025-08-17,E1,Ipswich,Southampton,0.4201,0.2935,0.2864,H,0.4518,1-1,0.1316,1-1,D,0,1,1,1.2259,,,
